"iso_code","location","date","people_fully_vaccinated_per_hundred","stringency_index","population","population_density","median_age","gdp_per_capita"
"OWID_AFR","Africa",2021-12-08,7.63,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2021-12-09,7.71,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2021-12-10,7.74,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2021-12-11,7.8,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2021-12-12,7.84,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2021-12-13,7.87,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2021-12-14,7.95,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2021-12-15,8.06,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2021-12-16,8.08,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2021-12-17,8.1,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2021-12-18,8.17,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2021-12-19,8.18,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2021-12-20,8.29,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2021-12-21,8.32,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2021-12-22,8.37,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2021-12-23,8.46,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2021-12-24,8.55,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2021-12-25,8.56,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2021-12-26,8.61,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2021-12-27,8.64,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2021-12-28,8.94,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2021-12-29,8.96,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2021-12-30,9,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2021-12-31,9.12,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2022-01-01,9.15,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2022-01-02,9.17,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2022-01-03,9.19,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2022-01-04,9.37,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2022-01-05,9.4,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2022-01-06,9.45,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2022-01-07,9.49,NA,1373486472,NA,NA,NA
